Sample	Infecting plant
LG4_MM3_0_1mmPut	0
LG4_MM3_5mmPut	0
LG4_MM7_0_1mmPut	0
LG4_MM7_5mmPut	0
LV54_MM3_0.4mmSpe	0
LV54_MM3_5mmSpe	0
LV54_MM7_0.4mmSpe	0
LV54_MM7_5mmSpe	0
GSM1303882	0
GSM1303883	0
GSM1303884	0
GSM1303885	0
GSM1303886	0
GSM1303887	0
GSM1303888	0
GSM1303889	0
GSM1303890	0
GSM1303891	0
GSM1303892	0
GSM1303893	0
GSM1303894	0
GSM1303895	0
GSM1303896	0
GSM135545	0
GSM135546	0
GSM135547	1
GSM135548	1
GSM140076	0
GSM140077	0
GSM140078	0
GSM140079	0
GSM140080	0
GSM140081	0
GSM140082	0
GSM140083	0
GSM140084	0
GSM140085	0
GSM140086	0
GSM140087	0
GSM140088	0
GSM140089	0
GSM140090	0
GSM140091	0
GSM140094	0
GSM140095	0
GSM140096	0
GSM140097	0
GSM140098	0
GSM140099	0
GSM1496142	1
GSM1496143	1
GSM1496144	1
GSM1496145	1
GSM1496146	1
GSM1496147	1
GSM1496148	1
GSM1496149	1
GSM1496150	1
GSM182056	0
GSM182059	0
GSM182061	0
GSM182087	0
GSM182090	0
GSM182102	0
GSM414496	1
GSM414499	1
GSM414621	1
GSM414622	1
GSM414624	1
GSM414625	1
GSM414628	1
GSM414629	1
GSM418684	0
GSM418685	0
GSM418686	0
GSM418687	0
GSM418688	0
GSM418689	0
GSM418690	0
GSM418691	0
GSM449572	0
GSM449573	0
GSM449574	0
GSM449575	0
GSM465410	0
GSM465411	0
GSM465412	0
GSM465413	0
GSM465426	0
GSM465427	0
GSM465428	0
GSM465429	0
GSM465430	0
GSM465431	0
GSM465432	0
GSM465433	0
GSM465434	0
GSM465439	0
GSM465525	0
GSM465526	0
GSM465527	0
GSM465528	0
GSM465529	0
GSM465530	0
GSM465531	0
GSM465532	0
GSM465533	0
GSM465534	0
GSM465535	0
GSM465536	0
GSM465537	0
GSM465538	0
GSM465539	0
GSM465540	0
GSM465541	0
GSM465542	0
GSM465543	0
GSM465544	0
GSM465545	0
GSM465546	0
GSM465547	0
GSM465548	0
GSM465549	0
GSM465550	0
GSM465551	0
GSM465552	0
GSM465553	0
GSM465554	0
GSM465555	0
GSM465556	0
GSM465557	0
GSM465558	0
GSM465589	0
GSM465590	0
GSM465591	0
GSM465592	0
GSM465597	0
GSM465598	0
GSM465649	0
GSM465650	0
GSM465674	0
GSM465675	0
GSM488160	1
GSM488161	1
GSM488162	1
GSM488163	1
GSM488164	1
GSM488165	1
GSM528241	0
GSM528242	0
GSM528243	0
GSM528244	0
GSM528245	0
GSM528247	0
GSM528248	0
GSM528249	0
GSM528252	0
GSM528253	0
GSM528254	0
GSM528255	0
GSM537073	0
GSM537074	0
GSM537075	0
GSM537076	0
GSM537077	0
GSM537078	0
GSM732623	0
GSM732624	0
GSM732625	0
GSM732626	0
GSM754002	0
GSM754003	0
GSM754004	0
GSM754005	0
GSM754006	0
GSM754007	0
